day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
000-00-00,0.0,0.0,0.0,0.0,7.0
2022-01-10,-1.0904444015861252,1.0,1.8502703420368694,1.0,1.0
2022-01-11,0.018059104845902618,1.0,-0.42174116783665,1.0,1.0
2022-01-14,-0.12096877137215316,1.0,-0.5779097981465228,1.0,1.0
2022-01-20,-0.09003623843359071,1.0,-0.3561653240170718,1.0,1.0
2022-01-28,1.1485720012497926,1.0,-0.5779097981465228,1.0,1.0
2022-02-01,-1.1516297797864066,1.0,-0.6670604718009093,1.0,1.0
2022-02-02,-0.36632498684651676,0.7217308942277754,0.08635570278680238,0.07672368202954674,2.0
2022-02-03,-0.37784905078840014,1.0,0.9411871044914893,1.0,1.0
2022-02-14,0.018059104845902618,1.0,-0.42174116783665,1.0,1.0
2022-03-02,-2.2794529110103516,1.0,-0.37626192168204475,1.0,1.0
2022-03-07,0.8311868080943063,1.0,1.8003414548510335,1.0,1.0
2022-03-12,-1.471817044941064,1.0,-0.42174116783665,1.0,1.0
2022-03-17,0.8613792157321928,1.0,-0.7786632816856294,1.0,1.0
2022-04-04,1.097365577292959,1.0,1.214136304220822,1.0,1.0
2022-04-12,0.31367008983995287,0.4748939050803288,-0.3662136228495583,0.014210440487680116,2.0
2022-04-19,0.0,1.0,0.0,1.0,1.0
2022-04-27,-0.22180098143171265,0.0,-0.6670604718009093,0.0,3.0
2022-04-29,1.4086101779804046,1.0,-0.42174116783665,1.0,1.0
2022-05-09,0.29097319314008363,1.0,-0.508796314005327,1.0,1.0
2022-05-13,-0.37784905078840014,1.0,-0.8769793705992704,1.0,1.0
2022-05-16,-1.1985774406445215,1.0,-0.5174741264488298,1.0,1.0
2022-05-20,0.2647529957292194,0.9087765293939241,-0.6266206461406576,0.354060703587799,2.0
2022-05-25,0.7133346414131536,1.0,1.1246431142310664,1.0,1.0
2022-06-07,-1.2325928452371389,0.5033568597561382,1.386751132923083,0.6301226919135511,2.0
2022-06-09,0.6139733124656709,1.0,-0.4472135954999579,1.0,1.0
2022-06-10,0.44261221573016535,1.0,2.7592540923349946,1.0,1.0
2022-06-17,-0.37,1.0,0.0,1.0,1.0
2022-06-19,0.6197844403284147,1.0,-0.8769793705992704,1.0,1.0
2022-06-24,-0.16064449493406754,1.0,-0.5368484658065635,1.0,1.0
2022-07-01,0.9491933285937414,1.0,0.21300159697708904,1.0,1.0
2022-07-03,-0.8856019123565456,1.0,-0.5750783051013891,1.0,1.0
2022-07-05,-0.43367228102841127,1.0,0.9460931631979197,1.0,1.0
2022-07-06,-0.08354937265494156,0.41620259621837374,0.6158821191413286,2.1112249655356585,2.0
2022-07-08,-1.711457465569613,2.1450409312501484,-0.7411317606904448,0.1921175323490307,2.0
2022-07-12,0.44620718860503206,0.5360026634263629,-0.6448065145863148,0.22775571421453047,3.0
2022-07-13,0.5126443944475922,0.8988267684638651,-0.5750783051013891,0.0,2.0
2022-07-15,-0.6609484409474756,0.7324792654492585,0.4819137310706664,1.5890448046726728,2.0
2022-07-19,1.363510338813356,1.0,0.7828097455769039,1.0,1.0
2022-07-21,-0.37784905078840014,1.0,-0.8769793705992704,1.0,1.0
2022-07-22,-1.0429380448662766,1.0,-0.8769793705992704,1.0,1.0
2022-07-23,-1.2771576892957113,1.0,-0.5779097981465228,1.0,1.0
2022-07-25,-1.045162854433819,0.578028922753124,0.3743401507669096,0.8296477875740431,3.0
2022-07-27,0.32197444351975524,1.0,-0.5750783051013891,1.0,1.0
2022-07-28,-1.9684424282033859,1.0,-0.42174116783665,1.0,1.0
2022-07-29,-1.6625539952702306,1.0,-0.5779097981465228,1.0,1.0
2022-07-31,-1.0282287656362368,1.0,-0.6417106259226335,1.0,1.0
2022-08-02,-0.3889840923244862,0.3229209554563423,-0.053606404854972645,0.6834074765068657,2.0
2022-08-03,-0.37784905078840014,0.0,-0.8769793705992704,0.0,2.0
2022-08-04,-0.16064449493406754,1.0,-0.5368484658065635,1.0,1.0
2022-08-07,-0.3898600399441694,1.0,0.14060753862749534,1.0,1.0
2022-08-10,-0.5563929181083398,0.8509129588681563,-0.5966965860292929,0.2556674383514438,3.0
2022-08-11,0.4109537539527458,1.0,0.8562933823563798,1.0,1.0
2022-08-13,0.7214579116401695,1.0,-0.37626192168204475,1.0,1.0
2022-08-14,-0.22180098143171265,1.0,-0.6670604718009093,1.0,1.0
2022-08-16,0.018059104845902618,1.0,-0.42174116783665,1.0,1.0
2022-08-17,-0.2735435006191999,1.0,-0.508796314005327,1.0,1.0
2022-08-22,0.6197844403284147,1.0,-0.8769793705992704,1.0,1.0
2022-08-23,-0.8766657963468076,1.0,0.03210386694610942,1.0,1.0
2022-08-24,-0.18771283788831308,1.0,0.9698407484706123,1.0,1.0
2022-08-25,1.0942216594473866,1.0,-0.6052841507816193,1.0,1.0
2022-08-29,1.0401387069658887,1.0,-0.37626192168204475,1.0,1.0
2022-08-30,-0.37784905078840014,1.0,-0.8769793705992704,1.0,1.0
2022-08-31,-0.37784905078840014,1.0,-0.8769793705992704,1.0,1.0
2022-09-01,0.07938005243054874,0.764247214531093,0.937331292725393,2.5658227464318655,2.0
2022-09-02,-1.19310429661664,1.0,0.6540643769379076,1.0,1.0
2022-09-05,0.022097862538277835,2.2561232777741917,-0.7563391879611472,0.17061098245400105,2.0
2022-09-06,0.08779070658352886,0.2952304849988527,-0.47708585991428376,0.14258658085989961,2.0
2022-09-07,0.19198736382226764,1.0,1.4167047836909417,1.0,1.0
